,sentiment,content
95,sadness,going miss roomie staycy longer roomy starting tomorrow
96,sadness,girlx bottom thing moving all feel bad man
97,sadness,following twittbitch cause gerhemi ordered
98,sadness,dressed go
99,happiness,samiyusuf sir everything great inshaa allah
100,sadness,many farewell party sad see people leaving
101,sadness,stii no make realise doomed humanity usa
102,sadness,good news time incredibly hard decision
103,happiness,love sunshine happiness brings
104,happiness,voice nemo turn today thanks npr
105,sadness,johneast missed one year forbidden fruit tree garden munch disappointment one
106,sadness,cat died kidney failure math test day need get better
107,sadness,getting used getting cold asthma paying it
108,sadness,well rite gt headache
109,happiness,beautiful day wish energy enjoy it
110,sadness,got early pay bill figured like bandaid get quickly bad wrong
111,sadness,guess talking orlando magic whoiskenan nothing magical
112,happiness,phone ultra fast latest firmware update installed
113,happiness,need bear hug im going camp today
114,happiness,menchuly friday sweldo day
115,sadness,ederyn bad day t t gyah car baby client teething miserable forgot pack lunch get new car
116,happiness,alkaline trio sweet save day sucked great time anyways awesome seeing everybody hangin
117,sadness,fudge b d whole paper tired ugh hate school time sleep
118,happiness,fun daisy s mexican fiesta
119,sadness,damiencripps awesome shame though mark fiddle player died last month fab version good riddance i album
120,sadness,wishing got fij
121,happiness,cant contain myself tooooooo excited
122,sadness,farctum oh poor thing hope easily sorted out and expensive
123,happiness,ce ci ewww poor wish best thank god rolland garros month isn t p
124,sadness,llcooljew poor dear fellow busty maven there gym belong to peac
125,sadness,saw baby dove fall tree break neck die tried save couldnt cruel world
126,happiness,good morning everyone
127,happiness,shaymonkey comin wit u
128,sadness,miserable feel like im gona cry sux
129,happiness,way burial
130,sadness,robo rob ikr hate lack troyella ggmow always make sad
131,sadness,can t sleep without nearby
132,happiness,tried oprahs free unfried kfc loved went back another try topped boba wolverine chilled pope dave ben
133,happiness,polly scattergood s new single today download please touch ep itunes ace http tr im kpk
134,happiness,alyssa milano good morning alyssa hope u great wonderful day today im happy cuz today last day class yay
135,sadness,like friend hurt u love friend feeling arent same trying sleep really try give up
136,sadness,syreeta girl u sit ya double decker neck as talk ppl ur level
137,sadness,thanks much discount code looking forward trying pad
138,sadness,quot i think breaking heart trying keep together falling apart quot
139,happiness,barbsaka love finding regional group twitterer glad could connect new people
140,happiness,work still quot recovering quot amazing beautiful weekend mentioned incredible friend are
141,happiness,went mikey s cousin s wedding mom caught bouquet
142,happiness,bumblebeex yeah freedom awesome great little independent
143,happiness,michaelsmith lol wen mum used take kid wud always eat bread instead haha
144,happiness,haha watch funny as video youtube made day
145,happiness,http twitpic com wlf bbq time again
146,happiness,hahahahah woke today totally missed lecture quiz open lab useless chipotle w silvera jenny greeat d
147,sadness,can t believe leaving place tomorrow
148,happiness,cloverandbee yea way go super excited great midwest resource midwest pride
149,happiness,svickn g morning good know alive well today
150,sadness,traceeellisross all miss girlfriend season
151,happiness,dinner jiuliani s family yum
152,happiness,eating truffle yum
153,happiness,mumphlett good girl nevah tell hahahahaha hope good weekend
154,sadness,mmitchelldaviss mitchell tryed add xbox live lastnight live show friend list full
155,sadness,shrunk favourite cardigan hubby said buy new one practically lived gone shall say word
156,sadness,hitting bar two people lame tonight
157,happiness,feeling higher mt everest
158,sadness,fought jered death avoid wet willy got anyway q coming over bike ride
159,happiness,davidarchie hey david wondering received letter song it malaysia please reply nice day
160,sadness,empsfm work missed shannon could barely contain herself amazingly good time
161,sadness,seen up cï¿½m anh ko chiu no i noi nhï¿½ tifa roi d thang cloud danh dam gi mac ke quot gt
162,happiness,lizziecoulter oh dear i m sorry laughed
163,happiness,finally making headway family room home finally begining look like it btw dial go die
164,sadness,new nick name arosh i like like
165,happiness,good monday all still wet outside inside sunny feeling surge warmth energy good day
166,happiness,lovely night guy full moon thinking going onto roof lol
167,sadness,kixxa somehow totally distracted shirt even know why suddenly like guy next door
168,happiness,picture pretty day http tr im kwod fb
169,happiness,mistressmia heard title author before must look enjoy
170,sadness,hitting sack now fellow twitterheads so treating mom today
171,sadness,class next two day but work everyday today til next wednesday sad
172,sadness,retrorewind dave can t happen working listen whining big time
173,sadness,causing trouble partner crime
174,happiness,marcihearts sending get first check make enough lol worked like hour far
175,sadness,clumsyflic kid got second chance shudnt have mowgli didnt gutted
176,happiness,phone keep beeping me thanks alan speeeeeen
177,sadness,juenese totally felt bad guy haha im good miss guy
178,sadness,empitome epic fail know epic fail
179,happiness,sopphue foot think let since it s international twitter haha
180,sadness,low low low low low low low low low
181,happiness,elliot think bear cuteness early day kudos fair empress
182,happiness,best part movie kirk total babe
183,happiness,mr bill good morning too
184,sadness,majorspoilers majorspoilers com problem cannot get site working
185,happiness,nice weather today alex
186,sadness,johnhensel hate u wait one week see cuz puerto rico still coming soon
187,happiness,back new mexico again happy mother day mother there
188,sadness,omg going robinson tyler wfm freakin miss anthony ugh today kinda suck lex lt
189,sadness,lost dollar always lose money
190,sadness,eminem am freaking awsome im going back too seam like something big inside me no is alien
191,happiness,liz left aww good see her
192,happiness,morning everybody
193,sadness,grahamcoltonfan hahah too except haley get hit car yay leyton
194,sadness,international student today sooo much fun sixflags friend know well enough
195,happiness,billbergstrom look like great time happy birthday bd girl
196,sadness,o looking old stuff found record old band well a band month ever heard
197,happiness,feelin bit dangerous watch tha vids http bit ly xus
198,sadness,photography class summer cancelled going somewhere dont want missing spring game email eric swist
199,sadness,lot catch weekend bhr host busy busy busy http plurk com p rqpl
200,sadness,costume shop cleaning starving bring food
201,happiness,thriftymommy enjoyed seeing everyone presented saturday clark howard event especially pre clark speaker
202,happiness,second last biology first time ever time haha
203,sadness,bird flew window parent house snapped poor neck gotta bury
204,happiness,good morning gonna clean house bit maybe clean more nothing rest day
205,sadness,net died yeah sad
206,sadness,amazing hollyoaks poor warren lmao
207,sadness,follow mzthave cause really shop there even though showin love
208,happiness,easytouch let go home
209,sadness,friend went new york without got picture smith http twitpic com l
210,happiness,ok mother fucking duet hysterical lol
211,happiness,lemonjat hehe funny the midget thing cheer alex wave germany right now spain d
212,happiness,there say give excuse sleep bed lol different size would switched her
213,sadness,need relocate west coast weather killin me
214,sadness,queenbofmakeup need post time tour apology supporter
215,sadness,sometimes feel like person world without iphone
216,sadness,finally feel like nice summer day feeling sick
217,sadness,rainbowanne well nice thought lasted maybe leave properly next time cross finger
218,sadness,feel guilty bc think fault hard drive died
219,happiness,back home bathing kid ironing clothes hubby nephew s graduation tonight remember
220,sadness,back lunch pouring rain ugh ohh well least get death cab cutie mood
221,happiness,themanwhofell compliment taken thanks key
222,happiness,bobbiehouston haha photo funny hope disturbed passenger much flight
223,happiness,iamchrisc soo jealous right now
224,happiness,djunity thanks
225,sadness,jaidenkhat sadface
226,sadness,chopperdave think im going wind going home go bed
227,happiness,rockonrebelchld happy mother s day well good one
228,sadness,need water paper towel coke store feel sick go get
229,happiness,aimeesays aww hope fly jt episode usually really good and early far ep hassn t disappointed
230,happiness,em got big list today hubby work weekend going u think
231,happiness,reading book instead revising thinking lunch heart rate bpm case wanted know
232,happiness,far gone much better expected sure help raised dog feel im thing right
233,happiness,amhartnett sound like fun
234,happiness,stevensmith indeed twitter mate happening here enjoy hope see arou http twurl nl joxe
235,sadness,dave mueller yes love little bit complicated want bb doesnt work
236,happiness,love first monday may bank holiday http plurk com p roxar
237,happiness,beer pong am jess
238,sadness,mcdonalds mccafe taste like chewin cigarette butt miss sonic card
239,happiness,heading office quiet stockholm least sunny
240,happiness,chilling listning seal
241,sadness,trying deny beginning miss more every single day apart need sprite haha
242,sadness,myweakness loving i always let negative people life
243,sadness,santiaggo new yorker cover done iphone amp jealous one http myloc me a
244,sadness,stephenjerzak awww didnt pas speech
245,happiness,borgintraining saw liked bad
246,happiness,dreamobscene know feel lovely relaxing weekend
247,sadness,meg sorry megan sure find something quick
248,happiness,myucan wahahahaha wanna naaaaa well hapit na guess hahahaha yes know hahahaha lol narn haha joke
249,sadness,katiekilljoy wanna play tonight pout pout side face
250,sadness,tummy hurt
251,sadness,fudgecrumpet ok believe you but belly button lol
252,sadness,dont want ugly anymore
253,sadness,first sport banquet without katie
254,sadness,thatkadygirl every day life lately feel ya girl lt
255,happiness,soupy soup time today heinz cream chicken mushroom yum bbl
256,sadness,dtballa want forgive forget this please dont like promise going live without drama now so please
257,sadness,follower sad
258,happiness,skingirl yeah excited
259,happiness,iamchrisc haha cute p thanks reply made day haha
260,happiness,ok got nail done day sweet
261,happiness,jen nope quot done quot yet
262,happiness,pamluther like put fruity article website permit
263,happiness,world im chillin bout go get money economy money easy money anymore
264,sadness,boy girl lie awww santa real either
265,happiness,time bed hope saturday lovely mine wa
266,sadness,singpolyma aaaaaaaahhhhhhhh hate internet people learn quot native widget always best quot
267,happiness,forgot lumpia pancit fridge last night yay
268,sadness,trying straighten hair effing hot here also need food
269,sadness,diesel yaris mpg sad available u that d awesome
270,sadness,failure
271,sadness,work suck big time
272,happiness,spitphyre well good luck twpp hour time think way home fun
273,sadness,theemptynest before sometimes turn thing felt forgiving remould cut re form
274,sadness,miss baby
275,happiness,cassapel damn got excited nothing hahaha
276,sadness,jennwadsworth sad school close
277,happiness,done run km hmn bpm feeling great fatigue speed
278,happiness,haha lacey shutdown livestream party time
279,sadness,effing tired http bit ly ezfz
280,happiness,traceyctt live pain bring
281,sadness,rawr yeah call dad mom brother either mom phone dad phone card expired brother work
282,sadness,taking foreverrr jess get im bored
283,happiness,mile run meter swim thing looking better better laying bike today
284,sadness,becoming edgy bcause lappy arrive yet
285,sadness,want go home
286,sadness,http twitpic com vr wanted visit animal late
287,happiness,oh yeah radio playing earth wind fire
288,sadness,saschaillyvich guess mean beta read either story huh
289,sadness,good drank jager licked hot asian girl s foot bad reminded never get asian girl ever
290,sadness,oouchhhh pinched nipple accident trying fix top
291,sadness,seoulbeats romance zero funny
292,happiness,starting day little northern light
293,happiness,jegjeg yay coutch couch
294,happiness,star trek sooooo awesome spock kirk hillarious im seeing again sooon
295,happiness,thedebbyryan left message hope get
296,sadness,cry omg fed pain
297,sadness,tgif bad weather suck
298,happiness,hatzmusic got guy chat lol
299,happiness,mollieofficial congrats mollie wish could got ticket
300,happiness,bit soul time mama visialize next living environent speak soon
301,happiness,http twitpic com wukt bought ludi rug dog best
302,sadness,well only one week left holiday sad sad
303,happiness,u who s heart break little time year know loved next week new week
304,happiness,glad good job
305,sadness,science class right now urgh stupid project wanna go track school tired lol
306,sadness,jpsherman that s true unfortunately lead movie die high note friday th model
307,sadness,im tired sick better sunday sing morning night
308,sadness,holiday fair
309,happiness,fakerparis little tired gland bank holiday lie
310,happiness,isabellacane thanks gonna make joke say look like mine
311,happiness,ha sure hey text normal
312,happiness,parislisbonne glad liked want more
313,sadness,head huwwts
314,happiness,dinolich know still want see
315,happiness,happy monday twishers passing coffee
316,sadness,twisty using paint net x running crazily fast can t afford c unfortunately yet
317,sadness,stuck shitty traffic day going crap
318,happiness,boomkatt yes yes am networking whore fullest and girl rih next
319,sadness,nileylover well i m little bit sick i m fine
320,happiness,lilazngangsta awesome day school
321,happiness,sadly awake wondering contact info fun folk hung shop yay b miss guy
322,happiness,happy see kurt spin
323,happiness,sammihouse awww lol yh worth it mcfly worth eekk
324,happiness,annadifilippo fun without pasty lt
325,sadness,natsolovelyx knowww yur mother bitch want take movie bitch
326,happiness,happy imma get see lovely lady
327,happiness,whoa showering session
328,happiness,last day college today
329,happiness,saturday partytiiime
330,happiness,managed find bottle pimm s weather go
331,sadness,verb n noun ikr parent take cake tho grocery shop go eat time
332,sadness,soccergameball use breathe soccer live soccer until hurt knee badly sad day wa pas link around
333,sadness,good day im skint
334,sadness,last wrte again got bored previous days
335,sadness,course rain five minute finish watering flower took half hour water too
336,sadness,rorzshach oh hug
337,happiness,rissiapriyahita zanidia clarixxxa thanks udah di follow
338,sadness,moggy internet last night er brill massive explosion end nearby gas work er standby
339,happiness,ok guy turn laptop pack tweet u guy road bbl
340,happiness,love jonas brother trending topic maybe taylor turn next
341,happiness,himynameisryan let know go babe good luck
342,happiness,migrating sybase ase sparc sun solaris based solaris x based fun
343,happiness,yes really back wait day arrive finally here gale back po http tinyurl com dzzaf
344,sadness,heresmyhello hate change course fan life lt oh met rob something went horribly wrong
345,sadness,darn allergy like time year this never used problem either
346,happiness,loven r ftw pvp bac
347,sadness,sbcvandy omg know give stroke everytime go getting mad them quietly window rolled up
348,sadness,broke girlfriend feeling lonely heartbroken sad time guy n
349,sadness,wish pool
350,sadness,iamlittleboots recording eqpmnts out full day mind gone blank outfit g a y still nt arrived eitha
351,happiness,fedgrub dull life soundtrack one favourite showss
352,sadness,suprnaturlshana look much better short hair
353,sadness,truck full silver bar imploded itself delayed u hour even get bar trouble photo
354,sadness,lost favorite pen good thing back d
355,happiness,xstaylor lol considering recent debate dl touching bad boy thing like logical one
356,happiness,mrjaydeeone thanks add try signing later get home still luck email someone
357,happiness,sharktailypp red font top nice put old entry
358,happiness,work hillcats game cent hot dog haha
359,sadness,suck school nothing
360,sadness,get tonight s sytycd online anywhere streamed like hulu paid like itunes missed favorite judge can t sleep
361,sadness,hate leaving teddy miss boy damn
362,sadness,fucking love alexander william gaskarth
363,happiness,veneia great
364,sadness,ooh feel sleepy a m dont wanna go school day to
365,happiness,lifeincyan randoms about love star war day realise can t believe almost over
366,sadness,sunilsebastian still lot time stupid contract month change provider
367,happiness,lovelybookie yaaaay mish following gab
368,sadness,hit sheet
369,happiness,bagger haha yeah
370,sadness,saddest right now lost mobile phone earphone waz feel little incomplete feel
371,happiness,susannaheanes bwaha far away though look fluffy jared s hair s shinnny
372,happiness,echoinghim pleasure playing guitar you fun
373,happiness,hangin cool as people http short to jp
374,happiness,jtimberlake hey saw snl nite amp i loved it especially crumpin tit boob scene quot crumpin dub quot wow hilarious
375,happiness,borgellaj know what cat
376,happiness,great time vacation sure heck want go work tues
377,happiness,realchrissystar back sunday play horse last night mex miss
378,sadness,poor bretty yay phils
379,sadness,bitter sweet moment want leave nothing go home to
380,sadness,mmm home made pizza that helped make home made cheesecake to eat soon amp family nice day mother amp nanna
381,sadness,sad hollyoaks
382,happiness,enjoyed x men w dwestbrook time rest drive home happy mother s day twit mom
383,sadness,awake anybody else awake wish lived u since fun happens asleep
384,happiness,great northern http twitpic com wiqv awwww look like one kitty little furry ball best
385,happiness,joannah hempware now case yeah start work tomorrow excited
386,happiness,thanks everyone unfortunately nothing done sale speak themselves convince diamond nothing will
387,sadness,kalediscope girl cry allergic seafood
388,happiness,bd illustrated too hard argue w cause make great point can t wrap heart around one
389,sadness,vosdjs lol yea fondue point chocolate lava cake really want but wont im mon fri babe
390,sadness,say still dreaming nikon d errr ate kuya please lang huhuh http plurk com p wxrx
391,happiness,clive birthday pat http apps facebook com dogbook profile view
392,sadness,ravenlar s ok trying plot alternative speak sigh
393,sadness,got back home shit meeting tmrw staying sea view even dont fresh undergarment tiring hr working day
394,happiness,xlesseyx good cup cake
395,happiness,rishloves make smile rishlooband
396,happiness,oh god cheesy disco music started everyone getting table need wine
397,happiness,rozarin whaa really should definitely optional though liked them also crazy
398,sadness,wow really missin fam ily today baddd
399,sadness,need sit inside hurt ughhh
400,happiness,happy mother day
401,sadness,blockbuster week new zealand quot wolverine quot tomorrow followed quot star trek quot thursday
402,sadness,pauldoussay yes stupid girl kind
403,sadness,broke laptop again
404,happiness,got home day pampering shopping white outfit totally complete
405,happiness,getting ready summy yummy cocoa crispies
406,sadness,japumpy need botox work lip going change name angelina jolie thought sad though racism
407,sadness,recession hit veronique branquinho quit company shame
408,happiness,weetabix choco milk yum
409,sadness,whats wrong flickr http www flickr com photo frenchtoastcake quilt top photo show click it sad story
410,sadness,god want sleep
411,happiness,work gettin paid sit arse guest yet mum comin eexcited
412,sadness,awh last day tour miss hangin w sendoutscuds child soooo let s make awesome nite ok
413,sadness,well thats day watching panther tonight beat saint finger crossed cause qld team playing round
414,sadness,fuck elora danan breaking im missing last nsw show def need hit melbs someone come
415,sadness,sick kid trump advance planning bummer
416,sadness,im going bed dnt feel well always
417,happiness,irontec thanks support
418,sadness,poor greg stupid uk always sympathy vote xo
419,happiness,yay sherbert chocolate nutritious
420,happiness,angelakeen next wk c drs maybe then would love it go mac grill john there thought u
421,happiness,thank gut follower mean lot
422,happiness,slashfilm peter follow me oh fun europe
423,sadness,kdelbonis well can t get cupcake can t connect t mobile s network sim card corrupted
424,happiness,googledocs folder instead label like gmail kind like label
425,happiness,lol kalahari net marketing quot may th you quot
426,happiness,officialtila thanks interview mama enjoy night
427,sadness,finally finished exam amp home watch otalia amp pbp bpd otalia today hmm via http twib e cop
428,happiness,ankita gaba evrytime listen name tat plce reminded mojojojo dexter s lab
429,sadness,rawrgoesaimee ah bibisita ka kina gq bukas sasama ka sa rusher eb able visit jumpstart tom coz something
430,happiness,smith amherst mini reunion last night fun miss old day
431,sadness,yeah last long
432,sadness,dosen t want go work tomorrow
433,happiness,shhhweeeet jay z bros back prom
434,sadness,marijo sabido nada de ti making bit sad must say
435,happiness,inkcircles thank you
436,sadness,lonejohnny awwww waiting then hope rain
437,sadness,meli beli haha yeah u did oh well there always next yr chin princess hehe
438,happiness,thing really demand lot time anyways gotta get breakfast watch naruto s latest episode
439,happiness,emilyyoung havin fun x btw isnt bowling x xx
440,sadness,going fold laundry hit sack boring saturday evening
441,happiness,wp cheer
442,happiness,chrisbrownweb hope ye got dem ur site amazing got everyday tryed own amp failed lol
443,sadness,sweet charlotte should another thrown sure one american family
444,happiness,excited r r mother s day
445,happiness,drewpeacock cool dude yeah hoping rate still lol yeah sure ill mar par birthday dinner
446,happiness,kristyknox sound like fun think lol naughty ironing watching nk porn youtube instead lmao
447,sadness,davestyles haha yes b men lie show one marry
448,sadness,susiegroove yes thank you contacted ce response
449,sadness,spyou oh no sorry hope back bike soon
450,happiness,justinphillip awesome kind
451,happiness,kyspeaks yah footlong sausage mah halal place piggy sausage bigger
452,sadness,dougreport checked worked sorry
453,sadness,laura mckay sadly no sitting inside mobile signal work garden opening wine bang pm though
454,sadness,thedebbyryan look like ninja tutle xo lol
455,sadness,laying bed sore snuggeling domino wanna work today
456,happiness,liannaknight can t wait see you week go fast enough
457,sadness,now conjunctivitis left eye sign something wrong deserve this lol dying people
458,happiness,woohoo this day week lord made remembered get wear jean amp chanclas week
459,sadness,http bit ly ww noooo go orlando omg gonna cry
460,sadness,dann vega misconnected next flight midway tonight hotel w o undies
461,sadness,play tennis bel air court wet but play anyway
462,sadness,hate interview im going horrible today
463,sadness,dont get
464,happiness,day day shred day special k challenge feel fantastic
465,happiness,hoisin duck pizza salt pepper pizza gelato dinner edmund jade good time
466,happiness,awww bought mom cutest thing mother day woop woop mee expert shoper
467,happiness,amedawg haha that s great yeah zachary quinto spock really awesome indeed
468,sadness,everything workout planned
469,happiness,finished filming day another fun day set hahaha
470,happiness,getting puppyyy name him think romeo cute
471,sadness,busy day time tweet bmore what s happening weekend
472,happiness,oh yes level
473,sadness,massive headache
474,happiness,santoscarmen that s lot mango haha baka naglilihi ka ahh haha joke lang carmen
475,sadness,holy shit super sunny friday whitsun tube deeeesearted wish park http tinyurl com nsl
476,sadness,go uploading photo email would ten tenenen tenen done
477,sadness,soooo cold amp ugly out
478,happiness,finish sketch und go skate yeeeehaaa got new deck
479,sadness,seems really quiet tonight am jealous clearly exciting life bed think
480,happiness,mjasenn totally owe week on call duty appreciate jill town
481,sadness,troublepandapr ok that s true plus insulting saying insulting you trying cheer up butï¿½nadaï¿½
482,sadness,bighugclub get around problem good idea
483,sadness,singz think im jst abt done ur girrrlfriend im leavin im leavin jst love cm
484,sadness,sad i ll miss grandma angie always like rd grandma me
485,sadness,anachronous miss
486,happiness,http slingalink com evice daughter kindergarden
487,happiness,put brat bed im chillin noodle
488,sadness,alancarr quaver sandwich tea
489,sadness,scavengerlor lol clever extremely jealous amount follower
490,sadness,officially booked seattle cfine ebotkin going best birthday weekend ever bradlawrence you made sad
491,happiness,wearing new victoria s secret slipper
492,happiness,davorkapozgan congratulation great funky site u waaw
493,sadness,missing smartbrain bkk na
494,happiness,johnlegend thats charmingly funny
495,sadness,pinkpop weekend amp got ticket meaning bruce springsteen oh well wwwwweeeeeeeeeeeeeeekkkkkeeeennnndddd
496,sadness,edge left contributor list month s issue x ffs lt werd
497,sadness,curren y spitta caught traffic around howlin wolf min wondering wth going on musta nice
498,sadness,goodbye picnic classmate today weather fucking beautifuul
499,sadness,wimnms well miss think would really like re trina
500,happiness,finished watching last star war
501,sadness,jonathanrknight actually wish back tahoe miss there
502,sadness,realized today last day see best friend tanner im goin miss much
503,happiness,tkpleslie friend call quot mother earth quot ever seems me nurturing second nature some me god baby
504,sadness,hot texas ac upstairs broken really hot house
505,happiness,sugafactory omg haha half hour late work whoop hahaha h workin sat mornins
506,sadness,looking forward driving storm
507,happiness,eating one big subway cooky glass warm milk yum
508,sadness,asheruk wanted go birthday
509,sadness,judez xo pretty took like hour ursssss
510,happiness,photo got print day ago ready norskart exhibition http tumblr com xhtphgl
511,sadness,long painful mile today knee ache approaching year rough accepting well glass draft helped
512,sadness,last day school last concert life wow say emotional im really gonna miss mhs graduation practice today
513,happiness,getting fab portrait ready upload today
514,sadness,puppy sick
515,happiness,pixelbase steverumsby care eurovision yes jury based vote year eurovision
516,happiness,postlemonkey oh awesome yahooo good night sleep tight let bed bug bite
517,happiness,good morning http bit ly tjvhv
518,happiness,kyleandjackieo body tom novy voodoo child rogue trader good memory song
519,sadness,rip officer edward may god continue bless family what s wit cop killing cop seen thing happen quot the wire quot
520,happiness,ssnape yes though perhaps thinking like vague seems popper term you
521,sadness,raining can t go jogging house gym
522,happiness,caught email research project yay label search gmail much easier
523,sadness,sad fitness center reopens zumba class anymore found today last class closure
524,sadness,depressed right now idk
525,happiness,another fun night chilled wit homie green turtle n park good time good time
526,happiness,started great mother s day season
527,sadness,poor imissbradandjen s mom told looked like hooker skirt short degree out
528,sadness,know watch holly again break heart
529,sadness,chrisbrownweb according bow wow his best friend chris twitter want hater probably
530,happiness,good nite everybody lt baby boy gt
531,sadness,lunch time feeling really odd today generally great
532,sadness,barbschaefer yearling pet home died sad whole family
533,sadness,want see next gossip girl episode
534,happiness,fpoint oh nice something nice next week going madrid next weekend day
535,sadness,back work warm today
536,happiness,time always seems fly im wade weird like it lot
537,sadness,paycheck nothing piece paper
538,sadness,day started bad got better
539,sadness,myinnercougar sorry day bad gettin drink on good plan
540,happiness,yay sing loud wed fall boy time low cobra starship friday win
541,sadness,oh obviously back stupid sleep schedule luckily church tomorrow
542,sadness,bored waiting till go tha bus
543,happiness,missamanda yeah take care tonight tomorrow pay night easy
544,sadness,beverleyknight hiyaaaaaa got back scan wow amazing cried haha xx
545,sadness,peep coming chi twn today weekend hang w dont time always workin
546,sadness,roxie feeling well http apps facebook com dogbook profile view
547,sadness,definitely working sunday afternoon late evening
548,happiness,new shackletonmusic single bought awesome well done boy
549,sadness,drove nbc s burbank lot line leno wrapped around building longest ever seen leno s last show
550,sadness,came online big cause ruined
551,sadness,spent last hour signing yearbook miss guy
552,sadness,bad mood
